Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
ahsen-6-person-tea-set,Ahsen 6 Person Tea Set,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,12-002-K6-18,16101,shopify,12,deny,manual,16.32,,true,true,BSM069,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ahsen-6-person-tea-set,,,,,,,,,Silver,,,,,12-002-K6-11,16101,shopify,12,deny,manual,16.32,,true,true,BSM067,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
diamond-decorated-coffee-set-with-round-tray,Diamond Decorated Coffee Set With Round Tray,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,18-003-KTŞ6-18,13650,shopify,5,deny,manual,9.67,,true,true,BSM356,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
diamond-decorated-coffee-set-with-round-tray,,,,,,,,,Silver,,,,,18-003-KTŞ6-11,13650,shopify,5,deny,manual,9.67,,true,true,BSM355,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorated-coffee-set-with-round-tray,Stone Decorated Coffee Set With Round Tray,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,18-003-KITŞ6-18,13650,shopify,5,deny,manual,26.29,,true,true,BSM354,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorated-coffee-set-with-round-tray,,,,,,,,,Gold,,,,,18-003-KITŞ6-18,13650,shopify,5,deny,manual,26.29,,true,true,BSM353,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorative-heybeli-pitcher,Stone Decorative Heybeli Pitcher,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-001-KITŞ-18,20150,shopify,18,deny,manual,13.03,,true,true,BSM351,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorative-heybeli-pitcher,,,,,,,,,Silver,,,,,14-001-KITŞ-11,20150,shopify,18,deny,manual,13.03,,true,true,BSM350,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
diamond-decorated-decorative-heybeli-pitcher,Diamond Decorated Decorative Heybeli Pitcher,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-001-KTŞ-18,21000,shopify,18,deny,manual,19.75,,true,true,BSM266,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
diamond-decorated-decorative-heybeli-pitcher,,,,,,,,,Silver,,,,,14-001-KTŞ-11,21000,shopify,18,deny,manual,19.75,,true,true,BSM352,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
decorative-heybeli-pitcher,Decorative Heybeli Pitcher,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-001-K-18,18000,shopify,18,deny,manual,24.37,,true,true,BSM154,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
decorative-heybeli-pitcher,,,,,,,,,Silver,,,,,14-001-K-11,18000,shopify,18,deny,manual,24.37,,true,true,BSM151,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
decorative-tea-spoon,Decorative Tea Spoon,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,14-004-18,11300,shopify,80,deny,manual,26.61,,true,true,BSM160,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
decorative-tea-spoon,,,,,,,,,Silver,,,,,14-004-11,11300,shopify,80,deny,manual,26.61,,true,true,BSM159,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorated-coffee-cup,Stone Decorated Coffee Cup,,Elite Turkish Brands,,,,TRUE,Color,Gold,,,,,18-003-KTŞ6-18,35100,shopify,12,deny,manual,26.4,,true,true,BSM254,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
stone-decorated-coffee-cup,,,,,,,,,Silver,,,,,18-003-KTŞ6-11,35100,shopify,12,deny,manual,26.4,,true,true,BSM253,,,,,,,,,,,,,,,,,,,,,kg,,,,,active
