CODE 2,SKU,TITLE,QUANTITY,PACKAGE WEIGHT,PACKAGE WIDTH,PACKAGE LENGTH,PACKAGE HIGHT,ITEM WEIGHT,IMAGE COUNT,COLOR
BSM069,12-002-K6-18,Ahsen 6 Person Tea Set,12,16.1,44.5,38,43,1.34,4,Gold
BSM067,12-002-K6-11,Ahsen 6 Person Tea Set,12,16.1,44.5,38,43,1.34,4,Silver
BSM356,18-003-KTŞ6-18,Diamond Decorated Coffee Set With Round Tray,5,13.65,41,40,40,2.73,3,Gold
BSM355,18-003-KTŞ6-11,Diamond Decorated Coffee Set With Round Tray,5,13.65,41,40,40,2.73,4,Silver
BSM354,18-003-KITŞ6-18,Stone Decorated Coffee Set With Round Tray,5,13.65,41,40,40,2.73,4,Gold
BSM353,18-003-KITŞ6-18,Stone Decorated Coffee Set With Round Tray,5,13.65,41,40,40,2.73,4,Gold
BSM351,14-001-KITŞ-18,Stone Decorative Heybeli Pitcher,18,20.15,51,40,49,1.12,3,Gold
BSM350,14-001-KITŞ-11,Stone Decorative Heybeli Pitcher,18,20.15,51,40,49,1.12,3,Silver
BSM266,14-001-KTŞ-18,Diamond Decorated Decorative Heybeli Pitcher,18,21,51,40,49,1.17,3,Gold
BSM352,14-001-KTŞ-11,Diamond Decorated Decorative Heybeli Pitcher,18,21,51,40,49,1.17,3,Silver
BSM154,14-001-K-18,Decorative Heybeli Pitcher,18,18,51,40,49,1,2,Gold
BSM151,14-001-K-11,Decorative Heybeli Pitcher,18,18,51,40,49,1,2,Silver
BSM160,14-004-18,Decorative Tea Spoon,80,11.3,41,29.5,25,0.14,2,Gold
BSM159,14-004-11,Decorative Tea Spoon,80,11.3,41,29.5,25,0.14,2,Silver
BSM254,18-003-KTŞ6-18,Stone Decorated Coffee Cup,12,35.1,44.5,38,43,2.93,3,Gold
BSM253,18-003-KTŞ6-11,Stone Decorated Coffee Cup,12,35.1,44.5,38,43,2.93,4,Silver
