CODE 2,SKU,TITLE,QUANTITY,PACKAGE WEIGHT,PACKAGE WIDTH,PACKAGE LENGTH,PACKAGE HIGHT,ITEM WEIGHT
BSM232,13-004-K-GRİ-18,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM233,13-004-K-GRİ-11,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM241,13-004-K-PMB-18,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM242,13-004-K-PMB-11,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM160,14-004-18,Decorative Tea Spoon,80,11.3,41,29.5,25,0.14
BSM159,14-004-11,Decorative Tea Spoon,80,11.3,41,29.5,25,0.14
BSM351,14-001-KITŞ-18,Decorative Heybeli Pitcher,18,20.15,51,40,49,1.12
BSM350,14-001-KITŞ-11,Decorative Heybeli Pitcher,18,20.15,51,40,49,1.12
BSM356,18-003-KTŞ6-18,Coffee Set With Round Tray,5,13.65,41,40,40,2.73
BSM355,18-003-KTŞ6-11,Coffee Set With Round Tray,5,13.65,41,40,40,2.73
BSM254,18-003-KTŞ6-18,Stone Decorated Coffee Cup,12,35.1,44.5,38,43,2.93
BSM253,18-003-KTŞ6-11,Stone Decorated Coffee Cup,12,35.1,44.5,38,43,2.93
BSM315,13-002-TŞ-18,Large Size Delight Case,60,9.1,41,29.5,25,0.15
BSM314,13-002-TŞ-11,Large Size Delight Case,60,9.1,41,29.5,25,0.15
BSM313,13-002-ITŞ-18,Large Size Delight Case,60,9.1,41,29.5,25,0.15
BSM312,13-002-ITŞ-11,Large Size Delight Case,60,9.1,41,29.5,25,0.15
BSM555,12-020-SK6-19,Eylül Black Coffee Set,12,24.6,51,40,49,2.05
BSM354,18-003-KITŞ6-18,Coffee Set With Round Tray,5,13.65,41,40,40,2.73
BSM353,18-003-KITŞ6-18,Coffee Set With Round Tray,5,13.65,41,40,40,2.73
BSM266,14-001-KTŞ-18,Decorative Heybeli Pitcher,18,21,51,40,49,1.17
BSM352,14-001-KTŞ-11,Decorative Heybeli Pitcher,18,21,51,40,49,1.17
BSM069,12-002-K6-18,Ahsen 6 Person Tea Set,12,16.1,44.5,38,43,1.34
BSM067,12-002-K6-11,Ahsen 6 Person Tea Set,12,16.1,44.5,38,43,1.34
BSM244,13-004-K-TRNC-18,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM245,13-004-K-TRNC-11,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM238,13-004-K-MAVİ-18,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM239,13-004-K-MAVİ-11,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM235,13-004-K-KHVR-18,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM236,13-004-K-KHVR-11,Round Sugar Bowl With Patterned Porcelain,44,19.45,44.5,38,43,0.44
BSM154,14-001-K-18,Decorative Heybeli Pitcher,18,18,51,40,49,1
BSM151,14-001-K-11,Decorative Heybeli Pitcher,18,18,51,40,49,1
