Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
nakkas-tugra-size,Nakkaş Tugra Size,,Elite Turkish Brands,,,,true,Color,Gold,,,,,,0.0,shopify,0,continue,manual,240.78,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/4-2.jpg?v=1666788922,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/4.jpg?v=1666788922,kg,,,,,active
nakkas-tugra-size,,,,,,,,,Silver,,,,,,0.0,shopify,0,continue,manual,240.78,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/4.jpg?v=1666788922,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/4-2.jpg?v=1666788922,kg,,,,,
nakkas-moon-star-size,Nakkaş Moon Star Size,,Elite Turkish Brands,,,,true,Color,Gold,,,,,,0.0,shopify,0,continue,manual,243.54,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/3.jpg?v=1666788739,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/3.jpg?v=1666788739,kg,,,,,active
nakkas-moon-star-size,,,,,,,,,Silver,,,,,,0.0,shopify,0,continue,manual,243.54,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/3-2.jpg?v=1666788739,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/3-2.jpg?v=1666788739,kg,,,,,
elegant-elif-vav-size,Elegant Elif Vav Size,,Elite Turkish Brands,,,,true,Color,Gold,,,,,,0.0,shopify,0,continue,manual,190.20,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/2-2.jpg?v=1666788616,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/2.jpg?v=1666788616,kg,,,,,active
elegant-elif-vav-size,,,,,,,,,Silver,,,,,,0.0,shopify,0,continue,manual,190.20,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/2.jpg?v=1666788616,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/2-2.jpg?v=1666788616,kg,,,,,
nakkas-oval-size,Nakkaş Oval Size,,Elite Turkish Brands,,,,true,Title,Default Title,,,,,,0.0,shopify,0,continue,manual,290.45,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/1.jpg?v=1666788445,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nakkas-oval-size,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/1-2.jpg?v=1666788445,2,,,,,,,,,,,,,,,,,,,,,,,,
blue-handmade-turkish-ring-for-men,Blue Handmade Turkish Ring For Men,,Elite Turkish Brands,,,,true,Title,Default Title,,,,,,9.5,shopify,0,continue,manual,30.45,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/8A4FCB6D-0BDA-4F5A-A78E-1BDA6BCCCBFF_JPEG.jpg?v=1666780518,1,,false,,,,,,,,,,,,,,,,,g,,,,,active
mohamed-pbuh-silver-925-islamic-ring,Mohamed PBUH Silver 925 Islamic Ring,,Elite Turkish Brands,,,,true,Title,Default Title,,,,,,9.0,shopify,0,continue,manual,23.20,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/D19E7993-7A73-422D-9FBB-F70C85398D9B_JPEG.jpg?v=1666780386,1,,false,,,,,,,,,,,,,,,,,g,,,,,active
blue-stone-silver-925-turkish-men-ring,Blue Stone Silver 925 Turkish Ring For Men,,Elite Turkish Brands,,,Best Seller,true,Title,Default Title,,,,,,8.0,shopify,0,continue,manual,13.54,16.90,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/19BAEB24-B1E9-4141-96E5-AEA44AB03286_JPEG.jpg?v=1666780281,1,,false,,,,,,,,,,,,,,,,,g,,,,,active
silver-925-black-stone-with-center-metal-strip-men-ring,Silver 925 Black Stone With Center Metal Strip Men Ring,,Elite Turkish Brands,,,,true,Title,Default Title,,,,,,9.0,shopify,0,continue,manual,1034.00,,true,true,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/7862D447-4B03-4C96-82CF-2A8A7121D961_JPEG.jpg?v=1666780187,1,,false,,,,,,,,,,,,,,,,,g,,,,,active
round-sugar-bowl-with-patterned-porcelain,Round Sugar Bowl With Patterned Porcelain,<p></p>,Elite Turkish Brands,,,,true,Color,Gold,,,,,13-004-K-GRI-18,0.0,shopify,4,deny,manual,20.00,,true,true,BSM232,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-004-K-GRI-18_2.jpg?v=1666730933,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-004-K-GRI-18_2.jpg?v=1666730933,kg,,,,,active
round-sugar-bowl-with-patterned-porcelain,,,,,,,,,Silver,,,,,13-004-K-GRI-11,0.0,shopify,4,deny,manual,20.00,,true,true,BSM233,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-004-K-GRI-11_2.jpg?v=1666775842,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/13-004-K-GRI-11_2.jpg?v=1666775842,kg,,,,,
wavy-round-tray,Wavy Round Tray,,Elite Turkish Brands,,,,true,Color,Gold,,,,,11-004-6-18,27200.0,shopify,50,deny,manual,22.68,,true,true,BSM053,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-004-6-18.jpg?v=1666731894,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-004-6-18.jpg?v=1666731894,kg,,,,,active
wavy-round-tray,,,,,,,,,Silver,,,,,11-004-6-11,27200.0,shopify,50,deny,manual,22.68,,true,true,BSM051,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-004-6-11.jpg?v=1666731917,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-004-6-11.jpg?v=1666731917,kg,,,,,
two-floor-porcelain-mirra-presentation-set,Two Floor Porcelain Mirra Presentation Set,,Elite Turkish Brands,,,,true,Color,Silver,,,,,14-011-K-19,10200.0,shopify,6,deny,manual,16.54,,true,true,BSM472,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/14-011-K-19.jpg?v=1666731744,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/14-011-K-19.jpg?v=1666731744,kg,,,,,active
tray-for-6-persons,Tray For 6 Persons,,Elite Turkish Brands,,,,true,Color,Gold,,,,,11-001-6-18,32000.0,shopify,40,deny,manual,9.23,,true,true,BSM012,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-001-6-18.jpg?v=1666731652,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-001-6-18.jpg?v=1666731652,kg,,,,,active
tray-for-6-persons,,,,,,,,,Silver,,,,,11-001-6-11,32000.0,shopify,40,deny,manual,9.23,,true,true,BSM011,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-001-6-11.jpg?v=1666731684,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-001-6-11.jpg?v=1666731684,kg,,,,,
tray-for-2-persons,Tray For 2 Persons,,Elite Turkish Brands,,,,true,Color,Gold,,,,,11-006-2-18,10200.0,shopify,25,deny,manual,26.56,,true,true,BSM192,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-006-2-18.jpg?v=1666731500,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-006-2-18.jpg?v=1666731500,kg,,,,,active
tray-for-2-persons,,,,,,,,,Silver,,,,,11-006-2-11,10200.0,shopify,25,deny,manual,26.56,,true,true,BSM191,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-006-2-11.jpg?v=1666731554,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/11-006-2-11.jpg?v=1666731554,kg,,,,,
tow-floor-presentation-set,Tow Floor Presentation Set,,Elite Turkish Brands,,,,true,Color,Gold,,,,,14-011-K-18,10200.0,shopify,6,deny,manual,26.63,,true,true,BSM475,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/14-011-K-18.jpg?v=1666731387,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0663/6516/1793/products/14-011-K-18.jpg?v=1666731387,kg,,,,,active
