CODE 2,SKU,TITLE,QUANTITY,PACKAGE WEIGHT,PACKAGE WIDTH,PACKAGE LENGTH,PACKAGE HIGHT,ITEM WEIGHT
BSM475,14-011-K-18,TOW FLOOR PRESENTATION SET,6,10.2,62,44,31.5,1.7
BSM232,13-004-K-GRİ-18,ROUND SUGAR BOWL WITH PATTERNED PORCELAIN,44,19.45,44.5,38,43,0.44
BSM233,13-004-K-GRİ-11,ROUND SUGAR BOWL WITH PATTERNED PORCELAIN,44,19.45,44.5,38,43,0.44
BSM241,13-004-K-PMB-18,ROUND SUGAR BOWL WITH PATTERNED PORCELAIN,44,19.45,44.5,38,43,0.44
BSM242,13-004-K-PMB-11,ROUND SUGAR BOWL WITH PATTERNED PORCELAIN,44,19.45,44.5,38,43,0.44
BSM539,12-018-K6-DSNKTM-19,NISA COFFEE SET,12,21.15,51,40,49,1.76
BSM538,12-018-K6-DSNKTM-18,NISA COFFEE SET,12,21.15,51,40,49,1.76
BSM288,15-015-K-18,BRIDEGROOM SELJUK SINGLE PRESENTATION SET,20,12,41,40,40,0.6
BSM287,15-015-K-11,BRIDEGROOM SELJUK SINGLE PRESENTATION SET,20,12,41,40,40,0.6
BSM064,12-001-K6-DSNKTM-18,COLORED COFFEE CUP SET,12,15.5,44.5,38,43,1.29
BSM063,12-001-K6-DSNKTM-11,COLORED COFFEE CUP SET,12,15.5,44.5,38,43,1.29
BSM099,12-006-K6-18,SEFA 6 PERSON TEA SET,9,18.55,62,44,31.5,2.06
BSM098,12-006-K6-11,SEFA 6 PERSON TEA SET,9,18.55,62,44,31.5,2.06
BSM322,15-010-K2-18,DOUBLE PRESENTATION COFFEE SET,12,15.75,47,46,49,1.31
BSM321,15-010-K2-11,DOUBLE PRESENTATION COFFEE SET,12,15.75,47,46,49,1.31
BSM286,15-010-SK2-18,DOUBLE PRESENTATION BLACK COFFEE SET,12,15.75,47,46,49,1.31
BSM281,15-010-SK2-11,DOUBLE PRESENTATION BLACK COFFEE SET,12,15.75,47,46,49,1.31
BSM181,15-012-K6-18,AHU TRAY WITH TEA SET,6,15,62,44,31.5,2.5
BSM180,15-012-K6-11,AHU TRAY WITH TEA SET,6,15,62,44,31.5,2.5
BSM196,15-014-K6-18,BLEND TRAY WITH TEA SET,6,15,62,44,31.5,2.5
BSM195,15-014-K6-11,BLEND TRAY WITH TEA SET,6,15,62,44,31.5,2.5
BSM192,11-006-2-18,TRAY FOR 2 PERSONS,25,10.2,41,21.7,15.5,0.41
BSM191,11-006-2-11,TRAY FOR 2 PERSONS,25,10.2,41,21.7,15.5,0.41
BSM148,13-002-18,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM145,13-002-11,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM160,14-004-18,DECORATIVE TEA SPOON,80,11.3,41,29.5,25,0.14
BSM159,14-004-11,DECORATIVE TEA SPOON,80,11.3,41,29.5,25,0.14
BSM351,14-001-KITŞ-18,DECORATIVE HEYBELI PITCHER,18,20.15,51,40,49,1.12
BSM350,14-001-KITŞ-11,DECORATIVE HEYBELI PITCHER,18,20.15,51,40,49,1.12
BSM356,18-003-KTŞ6-18,COFFEE SET WITH ROUND TRAY,5,13.65,41,40,40,2.73
BSM355,18-003-KTŞ6-11,COFFEE SET WITH ROUND TRAY,5,13.65,41,40,40,2.73
BSM254,18-003-KTŞ6-18,STONE DECORATED COFFEE CUP,12,35.1,44.5,38,43,2.93
BSM253,18-003-KTŞ6-11,STONE DECORATED COFFEE CUP,12,35.1,44.5,38,43,2.93
BSM252,12-002-KTŞ6-18,STONY AHSEN TEA SET OF 6 PERSONS ,12,18,44.5,38,43,1.5
BSM251,12-002-KTŞ6-11,STONY AHSEN TEA SET OF 6 PERSONS ,12,18,44.5,38,43,1.5
BSM315,13-002-TŞ-18,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM314,13-002-TŞ-11,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM313,13-002-ITŞ-18,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM312,13-002-ITŞ-11,LARGE SIZE DELIGHT CASE,60,9.1,41,29.5,25,0.15
BSM552,12-020-SK6-18,EYLÜL BLACK COFFEE SET,12,24.6,51,40,49,2.05
BSM555,12-020-SK6-19,EYLÜL BLACK COFFEE SET,12,24.6,51,40,49,2.05
BSM354,18-003-KITŞ6-18,COFFEE SET WITH ROUND TRAY,5,13.65,41,40,40,2.73
BSM353,18-003-KITŞ6-18,COFFEE SET WITH ROUND TRAY,5,13.65,41,40,40,2.73
BSM266,14-001-KTŞ-18,DECORATIVE HEYBELI PITCHER,18,21,51,40,49,1.17
BSM352,14-001-KTŞ-11,DECORATIVE HEYBELI PITCHER,18,21,51,40,49,1.17
BSM150,13-003-18,OVAL DELIGHT CASE,100,16.2,41,21.7,15.5,0.16
BSM149,13-003-11,OVAL DELIGHT CASE,100,16.5,41,21.5,15.5,0.17
BSM012,11-001-6-18,TRAY FOR 6 PERSONS ,40,32,41,29.5,25,0.8
BSM011,11-001-6-11,TRAY FOR 6 PERSONS ,40,32,41,29.5,25,0.8
